path,sha256
00_Spec/EBB-AI-SENTINEL-8A_BUILD_SPEC.md,9bb0c9f63fd1c72fc5459089e730577b2df270914e991e5c544b19ba53f2a702
00_Spec/EBB-AI-SENTINEL-8A_RC2.5_TO_RC2.6_SYSTEM_TRANSFORMATION.txt,ea6c710a87ca1d25f965f91bd2803fdb234ce3a370c23f3b427550e974ddaa65
01_Frozen_Builds/EBB-AI-SENTINEL-7_EXAMINED_RC2.5_INVARIANT_GENERALIZATION.zip,c1c06769f78087986972fcbbe0754964dac682b8d08203f9ecc5631292133d19
01_Frozen_Builds/EBB-AI-SENTINEL-7_NAVIGATOR_RC2.5_INVARIANT_GENERALIZATION.zip,67312af0bbee3411de478cff17657273d6f05c5dcb87b45f5e86ad0a2c40a198
01_Frozen_Builds/EBB-AI-SENTINEL-8_EXAMINED_RC2.6_CLAUSE_LEVEL_EVIDENCE_GATE.zip,2f756f5c3dc7f97f89f36acbb31c29275b23e727a2f6d125e4a20e9f812f0061
01_Frozen_Builds/EBB-AI-SENTINEL-8_NAVIGATOR_RC2.6_CLAUSE_LEVEL_EVIDENCE_GATE.zip,0e9277551819f4ec3d985748a33c10a9245c3c671078102bb2990625852cf94f
02_Captured_Requests/EBB-AI-SENTINEL-8A_CAPTURED_REQUESTS.jsonl,a107a9d5ddfcb9adc6ba561c197dfc203bf80d60676191c2337de94ba7e9759a
03_Live_Harness/blind_reviewer_STRICT.html,3396da65abd6548ece473448ae0cdf9b2eb3044a96505db5813ea772ecfa4170
03_Live_Harness/package_separated_artifacts.py,b5ecd5f665ca0bfd0eedc42bd4637d4d59d111e846e48f61629dd76cb9ec8478
03_Live_Harness/run_live_paired_certification.py,f6e4582a98f206c8ec1cd45b18a7b29c36017554781996eaf089c405842604cb
03_Live_Harness/run_sentinel8a_preflight.py,4ee6aad5729459ba914f91e3e5462eeb3387321782eadf1d9ae4450ecbb9d621
03_Live_Harness/score_review.py,ac4e64e475c9f16c86140d99379dff741e7f3e73a6380ec8d5931ea7df949ca5
03_Live_Harness/sentinel8a-live-certification.yml,ae9893c317d1b9214cf7e748598ffd10af384105b8e134006757343977a19acf
03_Live_Harness/validate_live_results.py,b8c8221dc66d3020043e1982b6299c0055e15a4586d08f294d57637787e0a99a
04_Registers/EBB-AI-SENTINEL-8A_EXECUTION_PLAN_PREVIEW.csv,970692afbd97093de4a877f64e82b91b8bbd595367fa24cd04877898978d6b07
04_Registers/EBB-AI-SENTINEL-8A_HASH_REGISTER.csv,983fba5181ab29e24b82fa1413b4e56108c4e0e0278d0d5db075e043452394c9
04_Registers/EBB-AI-SENTINEL-8A_PLAN_SUMMARY.json,4627c5cf6144c3ce9f80b07d87a57aa4fd6b6ef6f86afa8fbc1c0e845e192ab4
04_Registers/EBB-AI-SENTINEL-8A_REQUEST_DIFF_REGISTER.csv,d1436b4c7600bd4755e606d37715d3ce4b13f49410b8530d74ee2d32344e10d4
04_Registers/EBB-AI-SENTINEL-8A_SCORER_LABEL_ONLY_DIFF.patch,c7c0265ed1ed5d0563a883ba53769dff3fa0421c0136af38512121e6c5ed8a74
05_QA/EBB-AI-SENTINEL-8A_CAPTURED_REQUEST_PARITY.csv,f5942932a0ebe757d78a9c21b1b0a5503d6965cd84d0232314ba597a7b6bd740
05_QA/EBB-AI-SENTINEL-8A_CAPTURED_REQUEST_PARITY.json,5bc5dab95ed83f0e36cf02b1b7af78f6fb95966f620a1a1c3cb9960e42734472
05_QA/EBB-AI-SENTINEL-8A_FINAL_QA.txt,972aad8e0f2822134a36bb3157ea845a2d3f8b683a909b811723de8ad53b7c96
05_QA/EBB-AI-SENTINEL-8A_PREFLIGHT.json,cb93a1e4a8c73d4f0fcd2c641914468818eaf2887105a88ac7190c77eca3861e
06_Release_Notes/EBB-AI-SENTINEL-8A_OPERATOR_GUIDE.md,baafa5fcb03be3b9ef9381313399ac0f47eaef4856fc4df46f9f360bcc92131b
EBB-AI-SENTINEL-8A_LOCK.json,09b235ecdeaf92a60fb584ce1096c8fe4a08958dd7a7e610aae2b46579046f03
EBB-AI-SENTINEL-8A_PACKAGE_MANIFEST.csv,0e0e70db889306d2ab33379b53b2242cfa6dd985a08ac658cf320382e9190fb5
EBB-AI-SENTINEL-8A_README.md,6968217a52fde9a9b641539fa8fb6c4273d770d1003c1c2feedbbcc32197168c
