path,bytes
00_Spec/EBB-AI-SENTINEL-11A_BUILD_SPEC.md,1657
00_Spec/EBB-AI-SENTINEL-11A_RC2.8_TO_RC2.9_SYSTEM_TRANSFORMATION.txt,797
01_Frozen_Builds/EBB-AI-SENTINEL-10_EXAMINED_RC2.8_DETERMINISTIC_REQUEST_FIRST.zip,59927
01_Frozen_Builds/EBB-AI-SENTINEL-10_NAVIGATOR_RC2.8_DETERMINISTIC_REQUEST_FIRST.zip,245099
01_Frozen_Builds/EBB-AI-SENTINEL-11_EXAMINED_RC2.9_ACTIVATION_SUCCESS_LOYALTY.zip,62116
01_Frozen_Builds/EBB-AI-SENTINEL-11_NAVIGATOR_RC2.9_ACTIVATION_SUCCESS_LOYALTY.zip,247276
02_Captured_Requests/EBB-AI-SENTINEL-11A_CAPTURED_REQUESTS.jsonl,4755917
03_Live_Harness/blind_reviewer_STRICT.html,6464
03_Live_Harness/package_separated_artifacts.py,4238
03_Live_Harness/run_live_paired_certification.py,9155
03_Live_Harness/run_sentinel11a_preflight.py,7687
03_Live_Harness/score_review.py,4132
03_Live_Harness/sentinel11a-live-certification.yml,2833
03_Live_Harness/validate_live_results.py,6530
04_Registers/EBB-AI-SENTINEL-11A_EXECUTION_PLAN_PREVIEW.csv,10673
04_Registers/EBB-AI-SENTINEL-11A_HASH_REGISTER.csv,744
04_Registers/EBB-AI-SENTINEL-11A_PLAN_SUMMARY.json,337
04_Registers/EBB-AI-SENTINEL-11A_REQUEST_DIFF_REGISTER.csv,2731
04_Registers/EBB-AI-SENTINEL-11A_SCORER_LABEL_ONLY_DIFF.patch,1005
05_QA/EBB-AI-SENTINEL-11A_CAPTURED_REQUEST_PARITY.csv,24748
05_QA/EBB-AI-SENTINEL-11A_CAPTURED_REQUEST_PARITY.json,57283
05_QA/EBB-AI-SENTINEL-11A_FINAL_QA.json,1552
05_QA/EBB-AI-SENTINEL-11A_FINAL_QA.txt,649
05_QA/EBB-AI-SENTINEL-11A_PREFLIGHT.json,45109
06_Release_Notes/EBB-AI-SENTINEL-11A_OPERATOR_GUIDE.md,800
EBB-AI-SENTINEL-11A_LOCK.json,892
EBB-AI-SENTINEL-11A_README.md,484
