path,bytes
00_Spec/EBB-AI-SENTINEL-9A_BUILD_SPEC.md,1784
00_Spec/EBB-AI-SENTINEL-9A_RC2.6_TO_RC2.7_SYSTEM_TRANSFORMATION.txt,1053
01_Frozen_Builds/EBB-AI-SENTINEL-8_EXAMINED_RC2.6_CLAUSE_LEVEL_EVIDENCE_GATE.zip,54705
01_Frozen_Builds/EBB-AI-SENTINEL-8_NAVIGATOR_RC2.6_CLAUSE_LEVEL_EVIDENCE_GATE.zip,239935
01_Frozen_Builds/EBB-AI-SENTINEL-9_EXAMINED_RC2.7_EVIDENCE_MINIMAL_OUTPUT.zip,57353
01_Frozen_Builds/EBB-AI-SENTINEL-9_NAVIGATOR_RC2.7_EVIDENCE_MINIMAL_OUTPUT.zip,242509
02_Captured_Requests/EBB-AI-SENTINEL-9A_CAPTURED_REQUESTS.jsonl,3750728
03_Live_Harness/__pycache__/package_separated_artifacts.cpython-313.pyc,7362
03_Live_Harness/__pycache__/run_live_paired_certification.cpython-313.pyc,18207
03_Live_Harness/__pycache__/run_sentinel9a_preflight.cpython-313.pyc,15436
03_Live_Harness/__pycache__/score_review.cpython-313.pyc,8991
03_Live_Harness/__pycache__/validate_live_results.cpython-313.pyc,16084
03_Live_Harness/blind_reviewer_STRICT.html,6464
03_Live_Harness/package_separated_artifacts.py,4233
03_Live_Harness/run_live_paired_certification.py,9153
03_Live_Harness/run_sentinel9a_preflight.py,7657
03_Live_Harness/score_review.py,4130
03_Live_Harness/sentinel9a-live-certification.yml,2809
03_Live_Harness/validate_live_results.py,6528
04_Registers/EBB-AI-SENTINEL-9A_EXECUTION_PLAN_PREVIEW.csv,10673
04_Registers/EBB-AI-SENTINEL-9A_HASH_REGISTER.csv,735
04_Registers/EBB-AI-SENTINEL-9A_PLAN_SUMMARY.json,337
04_Registers/EBB-AI-SENTINEL-9A_REQUEST_DIFF_REGISTER.csv,2715
04_Registers/EBB-AI-SENTINEL-9A_SCORER_LABEL_ONLY_DIFF.patch,999
05_QA/EBB-AI-SENTINEL-9A_CAPTURED_REQUEST_PARITY.csv,18589
05_QA/EBB-AI-SENTINEL-9A_CAPTURED_REQUEST_PARITY.json,47977
05_QA/EBB-AI-SENTINEL-9A_FINAL_QA.txt,1248
05_QA/EBB-AI-SENTINEL-9A_PREFLIGHT.json,45096
06_Release_Notes/EBB-AI-SENTINEL-9A_OPERATOR_GUIDE.md,514
EBB-AI-SENTINEL-9A_LOCK.json,1020
EBB-AI-SENTINEL-9A_README.md,553
